Date, Open, High, Low, Close
08/08/12, 13158.10, 13202.65, 13115.24, 13175.64
08/07/12, 13118.65, 13215.97, 13118.42, 13168.60
08/06/12, 13099.88, 13187.28, 13099.72, 13117.51
08/03/12, 12884.82, 13133.18, 12884.82, 13096.17
08/02/12, 12969.70, 12969.85, 12778.90, 12878.88
08/01/12, 13007.47, 13074.83, 12951.16, 12971.06
07/31/12, 13071.72, 13082.66, 13006.48, 13008.68
07/30/12, 13075.35, 13128.64, 13042.85, 13073.01
07/27/12, 12888.91, 13117.74, 12888.53, 13075.66
07/26/12, 12680.59, 12931.22, 12680.59, 12887.93
07/25/12, 12617.77, 12732.77, 12617.62, 12676.05
07/24/12, 12720.93, 12730.09, 12521.84, 12617.32
07/23/12, 12820.45, 12820.45, 12583.41, 12721.46
07/20/12, 12942.68, 12942.83, 12810.35, 12822.57
07/19/12, 12909.61, 12977.57, 12889.93, 12943.36
07/18/12, 12796.98, 12921.94, 12754.61, 12908.70
07/17/12, 12728.73, 12829.23, 12645.10, 12805.54
07/16/12, 12776.33, 12779.58, 12690.05, 12727.21
07/13/12, 12573.73, 12784.73, 12573.04, 12777.09
07/12/12, 12602.71, 12630.64, 12492.25, 12573.27
07/11/12, 12653.04, 12661.97, 12534.33, 12604.53
07/10/12, 12733.87, 12830.29, 12606.91, 12653.12
07/09/12, 12772.02, 12772.02, 12686.57, 12736.29
07/06/12, 12889.40, 12889.40, 12702.99, 12772.47
07/05/12, 12941.85, 12961.30, 12852.24, 12896.67
07/03/12, 12868.06, 12946.20, 12845.28, 12943.82
07/02/12, 12879.71, 12902.12, 12795.48, 12871.39
06/29/12, 12604.60, 12880.39, 12604.53, 12880.09
06/28/12, 12626.25, 12626.25, 12450.17, 12602.26
06/27/12, 12532.93, 12646.87, 12532.71, 12627.01
06/26/12, 12503.57, 12576.41, 12452.03, 12534.67
06/25/12, 12639.80, 12639.87, 12458.01, 12502.66
06/22/12, 12574.82, 12674.08, 12574.67, 12640.78
06/21/12, 12823.10, 12857.39, 12561.46, 12573.57
06/20/12, 12837.10, 12877.18, 12744.92, 12824.39
06/19/12, 12744.62, 12898.94, 12744.47, 12837.33
06/18/12, 12767.02, 12781.93, 12696.18, 12741.82
06/15/12, 12652.21, 12774.70, 12651.38, 12767.17
06/14/12, 12497.89, 12698.68, 12497.66, 12651.91
06/13/12, 12566.38, 12598.25, 12453.69, 12496.38
06/12/12, 12412.07, 12577.02, 12411.91, 12573.80
06/11/12, 12553.81, 12650.47, 12398.48, 12411.23
06/08/12, 12460.81, 12554.20, 12398.44, 12554.20
06/07/12, 12416.53, 12555.26, 12416.53, 12460.96
06/06/12, 12125.00, 12414.79, 12125.00, 12414.79
06/05/12, 12101.08, 12147.55, 12072.17, 12127.95
06/04/12, 12119.85, 12143.69, 12035.09, 12101.46
06/01/12, 12391.56, 12391.63, 12107.48, 12118.57
